City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,el nido,11.1858,119.3956,25.64,94,100,3.29,PH,1735827763
152,loningen,52.7333,7.7667,5.01,75,87,5.31,DE,1735827764
153,enewetak,11.3474,162.3373,27.65,70,20,7.65,MH,1735827765
154,tchibanga,-2.85,11.0333,26.97,84,96,1.23,GA,1735827767
155,anna regina,7.2644,-58.5077,26.81,88,76,3.1,GY,1735827768
156,vurnary,55.4904,46.9648,1.75,91,100,9.64,RU,1735827769
157,dublin,37.7021,-121.9358,9.06,81,0,0.0,US,1735827578
158,lata,40.1629,-8.3327,14.16,51,36,2.52,PT,1735827772
159,dahab,28.501,34.5134,20.89,28,0,4.48,EG,1735827773
160,roma,43.2128,-75.4557,0.38,93,100,3.6,US,1735827670
161,valley city,46.9233,-98.0032,-14.71,92,20,5.66,US,1735827776
162,coquimbo,-29.9533,-71.3436,17.85,82,100,4.63,CL,1735827777
163,mermoz boabab,14.7065,-17.4758,24.88,41,0,6.17,SN,1735827779
164,avarua,-21.2078,-159.775,25.03,83,95,2.57,CK,1735827780
165,itaituba,-4.2761,-55.9836,29.09,79,75,1.03,BR,1735827781
166,wotho,10.1657,166.0102,27.19,76,100,7.22,MH,1735827783
167,whitehorse,60.7161,-135.0538,-24.57,84,75,0.0,CA,1735827496
168,itoman,26.1247,127.6694,19.01,77,100,5.66,JP,1735827785
169,quellon,-43.1167,-73.6167,14.36,69,99,0.97,CL,1735827787
170,palmer,42.1584,-72.3287,3.07,50,75,11.83,US,1735827788
171,west island,-12.1568,96.8225,26.99,78,100,3.6,CC,1735827637
172,manay,7.215,126.5397,24.25,91,99,2.24,PH,1735827791
173,dalandzadgad,43.5708,104.425,-8.69,42,0,1.32,MN,1735827793
174,fort morgan,40.2503,-103.8,-3.64,100,75,0.0,US,1735827795
175,chulucanas,-5.0925,-80.1625,21.87,83,100,0.38,PE,1735827796
176,palpa,-14.5336,-75.1856,22.63,70,100,2.02,PE,1735827797
177,haiku-pauwela,20.9219,-156.3051,21.25,80,19,7.6,US,1735827799
178,obo,5.3998,26.4869,34.81,15,99,3.64,CF,1735827800
179,ust-nera,64.5667,143.2,-43.74,94,35,0.71,RU,1735827801
180,shubarkuduk,49.1447,56.4872,1.1,98,100,9.16,KZ,1735827803
181,motueka,-41.1333,173.0167,15.61,83,55,1.71,NZ,1735827804
182,yangambi,0.8102,24.4336,35.84,19,99,1.33,CD,1735827805
183,punta arenas,-53.15,-70.9167,13.06,47,20,9.77,CL,1735827807
184,tralee,52.2704,-9.7026,6.14,75,0,0.51,IE,1735827808
185,port hueneme,34.1478,-119.1951,15.26,76,0,2.06,US,1735827809
186,la passe,45.5549,-0.8967,10.78,93,100,9.3,FR,1735827811
187,merizo village,13.2658,144.6691,26.99,86,100,6.49,GU,1735827812
188,chetwayi,10.5333,76.05,27.68,57,100,7.21,IN,1735827813
189,salinopolis,-0.6136,-47.3561,28.74,70,32,4.9,BR,1735827815
190,tindouf,27.6711,-8.1474,17.25,27,0,2.57,DZ,1735827816
191,qarazhal,48.0078,70.7903,-10.44,96,96,3.68,KZ,1735827817
192,bredasdorp,-34.5322,20.0403,25.51,50,2,6.49,ZA,1735827819
193,navlya,52.8281,34.4989,5.62,57,100,6.48,RU,1735827820
194,ntoum,0.3833,9.7833,30.2,62,84,2.34,GA,1735827821
195,baardheere,2.3446,42.2764,37.34,18,10,6.7,SO,1735827822
196,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,42,75,5.0,RU,1735827824
197,torzhok,57.0436,34.9622,-1.12,97,100,2.17,RU,1735827825
198,inhambane,-23.865,35.3833,30.53,69,97,6.85,MZ,1735827826
199,qamdo,31.1667,97.2333,-3.79,21,89,1.31,CN,1735827828
200,natal,-5.795,-35.2094,32.36,58,40,9.26,BR,1735827829
201,morehead city,34.7229,-76.726,5.02,62,0,3.13,US,1735827830
202,hirara,24.8,125.2833,21.15,73,100,5.66,JP,1735827832
203,apucarana,-23.5508,-51.4608,27.59,59,41,3.1,BR,1735827833
204,homer,59.6425,-151.5483,1.54,86,100,4.92,US,1735827834
205,puerto escondido,15.85,-97.0667,22.46,78,75,2.57,MX,1735827836
206,hobyo,5.3505,48.5268,26.29,76,20,10.37,SO,1735827837
207,nishinoomote,30.7333,131.0,13.87,54,0,3.71,JP,1735827838
208,keflavik,64.0049,-22.5624,2.24,80,75,9.77,IS,1735827840
209,sitka,57.0531,-135.33,0.94,55,0,3.09,US,1735827841
210,sinabang,2.4803,96.3801,26.38,84,27,1.25,ID,1735827587
211,fale old settlement,-9.3852,-171.2468,27.84,75,100,4.4,TK,1735827844
212,grinnell,41.743,-92.7224,-3.01,93,100,4.12,US,1735827845
213,crane,31.3974,-102.3501,5.08,77,0,2.67,US,1735827846
214,pitimbu,-7.4706,-34.8086,29.44,60,3,5.24,BR,1735827848
215,kalmunai,7.4167,81.8167,25.35,76,100,3.74,LK,1735827849
216,colac,-38.3333,143.5833,7.55,94,11,1.97,AU,1735827850
217,pisco,-13.7,-76.2167,22.23,83,99,1.54,PE,1735827852
218,huarmey,-10.0681,-78.1522,22.34,78,96,2.68,PE,1735827853
219,crystal city,28.6775,-99.8281,14.06,54,100,0.0,US,1735827854
220,ribeira grande,38.5167,-28.7,19.32,94,75,11.18,PT,1735827856
221,coronel dorrego,-38.7187,-61.2873,20.01,45,56,9.19,AR,1735827857
222,portland,45.5234,-122.6762,7.49,95,100,4.12,US,1735827603
223,cambria,35.5641,-121.0808,10.03,80,99,1.79,US,1735827859
224,mohr,54.3528,9.7167,4.05,82,20,7.2,DE,1735827861
225,broome,42.2506,-75.833,0.39,91,100,5.14,US,1735827862
226,atherton,53.5237,-2.4935,3.19,75,0,2.57,GB,1735827863
227,zavety il'icha,49.0294,140.2494,-20.57,87,18,2.78,RU,1735827865
228,qionghu,28.843,112.3522,10.46,27,6,3.35,CN,1735827866
229,rajsamand,25.0667,73.8833,18.96,31,85,1.79,IN,1735827867
230,hasaki,35.7333,140.8333,10.57,64,100,6.44,JP,1735827869
231,puerto leguizamo,-0.1934,-74.7819,23.19,95,100,0.9,CO,1735827871
232,la mira,18.035,-102.3266,22.07,61,100,2.04,MX,1735827873
233,dong ha,16.8163,107.1003,19.4,89,100,1.95,VN,1735827874
